,processo_gdf,modalidade_licitacao,numero_licitacao,valor_estimado_contratacao,text,labels
270,00220-00004796/2021-45,PREGÃO ELETRÔNICO,25/2021,"50.049,20","AVISO DE PREGÃO ELETRÔNICO Nº 25/2021 PROCESSO 00220-00004796/ 2021-45 ( Lote 01 Exclusivo para qualificadas como MEs / EPPs ) O Distrito Federal - DF , por meio da SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DISTRITO FEDERAL , autorizada pelo Decreto Distrital nº 41.497/2020 , por meio do Pregoeiro e Equipe de Apoio , designados pela Portaria nº 187/2020 , torna público , para conhecimento dos interessados , que fará licitação , com Lote 01 Exclusivo para qualificadas como MEs / EPPs , cujo objeto é a Contratação de empresa especializada no serviço de confecção e personalização de 255 ( duzentos e cinquenta e cinco ) kits de uniformes que perfazem o quantitativo de 765 ( setecentos e sessenta e cinco ) camisetas personalizadas em serviço de serigrafia e/ou bordado , e 100 ( cem ) coletes personalizados com serviço bordado para uso profissional , sob a modalidade de PREGÃO , na forma ELETRÔNICO , Tipo MENOR PREÇO POR LOTE , Adjudicação POR LOTE . VALOR TOTAL ESTIMADO DO LOTE : R$ 50.049,20 ( cinquenta mil , quarenta e nove reais e vinte centavos ) , Programa de Trabalho : 04.126.8206.8517.6982 - Manutenção de Serviços Administrativos Gerais - Distrito Federal ; Natureza de Despesa : 3.3.90.39 Outros Serviços de Terceiros Pessoa Jurídica ; Fonte : 100 - Ordinário não vinculado , em SESSÃO PÚBLICA : no dia 12 de novembro de 2021 , às 13h10min , DATA LIMITE DE RECEBIMENTO DAS PROPOSTAS : até às 13:00 horas do dia 12 de novembro de 2021 . O EDITAL e seus ANEXOS I A X encontram-se disponibilizado , sem ônus , no sítio : www.comprasgovernamentais.gov.br ( COMPRASNET ) e/ou na página da Secretaria de Estado de Esporte e Lazer do Distrito Federal SEL / DF , www.esporte.df.gov.br ( clicar em InstitucionalBase JurídicaLicitações ) . A sessão Pública será processada no sítio do Compras Governamentais , conforme especificações e quantitativos constantes no EDITAL e seus ANEXOS I A X. THIAGO MOREIRA CARVALHO DOS SANTOS Pregoeiro ",O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
271,00060-00041915/2021-94,PREGÃO ELETRÔNICO,273/2021,"3.319.019,2097","AVISO ABERTURA PREGÃO ELETRÔNICO POR SRP Nº 273/2021 - UASG 926119 Objeto : Aquisição regular do medicamento ZUCLOPENTIXOL SOLUÇAO INJETAVEL 200MG / ML e outros , em sistema de registro de preços , para atender a demanda da Secretaria de Saúde DF , conforme especificações e quantitativos constantes no Anexo I do Edital . Processo 00060-00041915/ 2021-94 . Total de 25 itens ( ampla concorrência e cotas reservadas às ME / EPP s ) . Valor Estimado : R$ 3.319.019,2097 . Cadastro das Propostas : a partir de 05/08/2021 . Abertura das Propostas : 17/08/2021 às 9 horas , horário de Brasília , no site www.comprasnet.gov.br . O Edital encontra-se disponibilizado , sem ônus , no site , ou , com ônus , no endereço : SRTVN , Quadra 701 , Conjunto C , Edifício PO 700 , 2º andar , sala : Central de Compras / DAQ / SUAG , CEP : 70. 723-040 - Brasília / DF . LÍNEA CAROLINE DA SILVA LIMA Pregoeira ",O O B-modalidade_licitacao I-modalidade_licitacao O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
272,00080-00108687/2021-75,,19/2021,"11.223.872,87","AVISO DE ABERTURA CONCORRÊNCIA Nº 19/2021 A COMISSÃO PERMANENTE DE LICITAÇÃO , DA SUBSECRETARIA DE ADMINISTRAÇÃO GERAL , DA SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL , comunica aos interessados a abertura procedimento licitatório em epígrafe , cujo objeto é a CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE CONSTRUÇÃO DE ESCOLA CLASSE , A SER LOCALIZADA NA QN 09 , AE 01 E 02 , RIACHO FUNDO I , RA XVII - DF , CUJAS ESPECIFICAÇÕES SÃO REFERENTES AOS SERVIÇOS PARA URBANIZAÇÃO DO TERRENO COM ÁREA DE 7.053,52 M² , LOCALIZADO NA QN 09 , AE 01 E 02 , RIACHO FUNDO I , RA XVII - DF , E ÁREA CONSTRUÍDA DE 4.045,52 M² , ONDE SERÁ IMPLANTADO O PROJETO PADRÃO DA EC ESCOLA CLASSE , CONSTANDO DE ESTACIONAMENTO COM VAGAS RESERVADAS PARA PESSOAS COM DEFICIÊNCIA , IDOSOS , MOTOS E EMBARQUE / DESEMBARQUE , GUARITA COM SANITÁRIO , PARACICLO , MASTRO DE BANDEIRAS , PARQUINHO , DUCHAS INFANTIS , PÁTIO DESCOBERTO , BANCOS , LIXEIRAS , POSTES DE ILUMINAÇÃO , TORNEIRAS DE JARDIM , GRELHAS PARA CAPTAÇÃO DE ÁGUA PLUVIAL , CENTRAL DE GÁS , ARQUIBANCADA A CÉU ABERTO , PRAÇA CÍVICA , CANTEIROS E ÁREA VERDE COM TRATAMENTO PAISAGÍSTICO . CONTÉM AINDA , FECHAMENTOS COM GRADIL E MURO , CALÇADAS E DESNÍVEIS TRATADOS EM CONFORMIDADE COM A NBR 9050 . O PROJETO PADRÃO DA ESCOLA CLASSE CONSTA DE EDIFICAÇÃO DE 2 ( DOIS ) PAVIMENTOS COMPOSTA POR 14 SALAS DE ATIVIDADES PARA A EDUCAÇÃO INFANTIL , LABORATÓRIO DE INFORMÁTICA , SALA DE ARTES , SALA DE RECURSO E SALA SENSÓRIO MOTORA , SALA DE APOIO A APRENDIZAGEM ( SEAA ) , AUDITÓRIO/ ESPAÇO MULTIUSO , DIRETORIA E VICE DIRETORIA , SECRETARIA , SALA DE PROFESSORES COM ESPAÇO PARA COORDENADOR , ARQUIVO , SALA DO SUPERVISOR , REPROGRAFIA , SOE , DEPÓSITO PEDAGÓGICO , DEPÓSITO DE LIMPEZA , REFEITÓRIO , PRÉ-LAVAGEM , COPA SERVIDORES , PÁTIO COBERTO , JARDIM INTERNO , SANITÁRIOS PARA ALUNOS E SANITÁRIOS PARA PROFESSORES / COMUNIDADE , SANITÁRIOS ACESSÍVEL , PLAYGROUND , COZINHA , DEPÓSITO DE GÊNEROS ALIMENTÍCIOS , DEPÓSITOS ALÉM DE RAMPA E ESCADAS DE ACESSO , referente ao processo 00080-00108687/ 2021-75 . Valor total estimado é R$ 11.223.872,87 ( onze milhões duzentos e vinte e três mil oitocentos e setenta e dois reais e oitenta e sete centavos ) , o prazo de execução é de 426 ( quatrocentos e vinte e seis ) dias corridos ( 14 meses ) , contados a partir de 5 dias úteis da expedição da Ordem de Serviço pela Subsecretaria de Infraestrutura Escolar ( SIAE ) , e o prazo de vigência do contrato deverá ser de 1.300 ( um mil e trezentos)dias corridos , contados a partir da data da assinatura do Contrato . Os recursos financeiros correrão por conta do Programa de Trabalho : 12.368.6221.3982.0001- CONSTRUÇÃO DE UNIDADE ESCOLAR - REDE PÚBLICA- DISTRITO FEDERAL - OCA , natureza de despesa 4.4.90.51 , fonte 103 . A data de abertura do procedimento fica definida para ocorrer no dia 18/01/2022 às 10h00min . Os arquivos contendo o edital e demais arquivos necessários para participação no certame poderão ser retirados diretamente no site http://www.educacao.df.gov.br/concorrencias/ ou no endereço SBN Quadra 02 bloco C , sala térreo - recepção , Edifício Phenícia , mediante entrega de 01 ( um ) DVDs ou Pen Drive lacrado . Os autos ficam com vistas franqueadas aos interessados . Brasília / DF , 14 de dezembro de 2021 RENI FERNANDES Presidente ",O O O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
273,04026-00001946/2021-71,PREGÃO ELETRÔNICO,16/2021,"347.547,79","AVISO DE ABERTURA DE LICITAÇÃO SRP PREGÃO ELETRÔNICO Nº 16/2021 Licitação com itens exclusivos para MEI / ME / EPP Processo : 04026-00001946/ 2021-71 . TIPO : Menor Preço . OBJETO : Registro de Preços para a aquisição de ALGEMAS a fim de atender às necessidades da Secretaria de Administração Penitenciária do Distrito Federal ( SEAPE ) no que tange ao fornecimento de equipamento de menor potencial ofensivo essencial à segurança das escoltas e , consequentemente , garantir a qualidade e eficiência dos serviços prestados ao público assistido . VALOR ESTIMADO : R$ 347.547,79 ( trezentos e quarenta e sete mil quinhentos e quarenta e sete reais e setenta e nove centavos ) . PRAZOS : De entrega : não superior a 30 ( trinta ) dias corridos contados do recebimento da nota de empenho ou da assinatura do contrato . Do Contrato : 90 ( noventa ) dias a partir da data da assinatura . DATA DA SESSÃO PÚBLICA : 27/12/2021 às 13:00 horas no www.gov.br/compras . UASG 928082 . Edital também está disponível no http://www.seape.df.gov.br/licitacao/. ROSIMEIRE PAIVA DA SILVA Subsecretária ",O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
274,092-00034161/2021-80,,,,"AVISO DE LICITAÇÃO NOVA DATA LICITAÇÃO FECHADA Nº 17/2021 PROCESSO : 092-00034161/ 2021-80 . OBJETO : Obras de execução de travessia para o Interceptor Melchior 01 ( INT.MLC.001 ) sobre o Córrego Cortado , em Taguatinga / DF . CRITÉRIO DE JULGAMENTO : Menor Preço ; DOTAÇÃO ORÇAMENTÁRIA : UO 22.202 ; PROGRAMA DE TRABALHO : 17.512.6209.7012/6024 ; NATUREZA DE DESPESA : 449051 ; Código de Aplicação : 22.207.013. 021-3 . FONTE DE RECURSO : Recursos Próprios de Investimentos - REPI , código : 21.101.100. 000-6 . EXECUÇÃO : 270 dias ; VIGÊNCIA DO CONTRATO : 375 dias . NOVA DATA DE ABERTURA : 10/01/2022 , às 09 horas no site https://www.gov.br/compras/pt-br ( UASG : 974200 ) . INFORMAÇÕES : O edital e seus anexos encontram-se disponíveis nos sites : www.caesb.df.gov.br menu Licitações e https://www.gov.br/compras/pt-br , a partir do dia 15/12/2021 . Fone : ( 61 ) 3213-7312 , E-mail : licitacao@caesb.df.gov.br . ELIZABETH DUARTE ALVES Pregoeira ",O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
275,00220-00002869/2021-64,PREGÃO ELETRÔNICO,28/2021,"3.978.423,68","AVISO DE PREGÃO ELETRÔNICO SRP Nº 28/2021 PROCESSO 00220-00002869/ 2021-64 ( AMPLA CONCORRÊNCIA ) O Distrito Federal - DF , por meio da SECRETARIA DE ESTADO DE ESPORTE E LAZER DO DISTRITO FEDERAL , autorizada pelo Decreto Distrital nº 41.497/2020 , por meio do Pregoeiro e Equipe de Apoio , designados pela Portaria nº 247/2021 , torna público , para conhecimento dos interessados , que fará licitação , em Sistema de Registro de Preços - SRP , com Item01de Ampla Concorrência , cujo objeto é o Registro de preços para eventual contratação de empresa especializada no serviço de serralheria para reparo , incluindo substituição e instalação , da estrutura dos alambrados das quadras poliesportivas localizadas em todo o Distrito Federal , incluindo o fornecimento do insumo , para atender às necessidades da Secretaria de Estado de Esporte e Lazer do Distrito Federal , SEL-DF , sob a modalidade de PREGÃO , na forma ELETRÔNICO , Tipo MENOR PREÇO POR ITEM , Adjudicação POR ITEM . VALOR TOTAL ESTIMADO : R$ 3.978.423,68 ( três milhões , novecentos e setenta e oito mil , quatrocentos e vinte e três reais e sessenta e oito centavos ) , em SESSÃO PÚBLICA : no dia 29 de dezembro de 2021 , às 13h10min , DATA LIMITE DE RECEBIMENTO DAS PROPOSTAS : até às 13:00 horas do dia 29 de dezembro de 2021 , conforme especificações e quantitativos constantes no EDITAL . O EDITAL e seus ANEXOS I A X encontram-se disponibilizados , sem ônus , no sítio : www.comprasgovernamentais.gov.br e/ou na página da Secretaria de Estado de Esporte e Lazer do Distrito Federal SEL / DF , www.esporte.df.gov.br ( clicar em InstitucionalBase JurídicaLicitações ) . A sessão Pública será processada no sítio do Compras Governamentais , nos termos do EDITAL . THIAGO MOREIRA CARVALHO Pregoeiro ",O O B-modalidade_licitacao I-modalidade_licitacao O O B-numero_licitacao O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
276,00063-00002365/2021-11,,34/2021,"81.100,00","AVISO DE ABERTURA DE LICITAÇÃO Nº 34/2021 - UASG 926334 A Fundação Hemocentro de Brasília torna público a realização de Licitação , por Menor Preço , para aquisição de insumo para a criopreservação das células progenitoras hematopoiéticas provenientes de medula óssea e de sangue periférico - Canister , visando atender às demandas das áreas técnicas da Fundação Hemocentro de Brasília , de acordo com as condições , quantidades e exigências estabelecidas no Edital e seus anexos ; Processo 00063-00002365/ 2021-11 , valor estimado de R$ 81.100,00 ( oitenta e um mil e cem reais ) . Data limite de recebimento das propostas até às 10:00 horas do dia 08/11/2021 . O Edital encontra-se disponibilizado , no sítio : www.gov.br/compras , no sítio www.fhb.df.gov.br e no endereço : Setor Médico Hospitalar Norte-SMHN , Quadra 03 , Conjunto A , Bloco 03 , Asa Norte CEP 70710-908 Brasília / DF . A sessão Pública será processada no dia 08/11/2021 às 10:00 horas no sítio do Compras Governamentais , nos termos do Edital . HENRIQUE SANJIRO YUZUKI FARIAS Chefe ",O O O O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
277,00113-00008776/2021-42,PREGÃO ELETRÔNICO,80/2021,"255.000,00","AVISO DE LICITAÇÃO NOVA DATA PREGÃO ELETRÔNICO Nº 80/2021 A presente licitação tem por objeto a contratação , mediante Sistema de Registro de Preços , da aquisição de carretinhas para o transporte de rolo liso - CC900 , da operação tapa buraco , tudo conforme especificado no Edital e em seus anexos . Processo 00113-00008776/ 2021-42 . Data e horário para recebimento das propostas : até 09h00min do dia 08 de setembro de 2021 , com valor estimado de R$ 255.000,00 . O respectivo Edital poderá ser retirado exclusivamente nos endereços eletrônicos www.der.df.gov.br e www.licitacoes-e.com.br . Demais informações no próprio Edital . Brasília / DF , 24 de agosto de 2021 ANA HILDA DO CARMO SILVA Diretora ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
278,,Pregão Eletrônico,07/2021,,"AVISO DE PREGÃO ELETRÔNICO Nº 07/2021 A Companhia de Desenvolvimento Habitacional do Distrito Federal CODHAB , no uso de suas atribuições legais , torna público o aviso de licitação para a realização do Pregão Eletrônico nº 07/2021 , OBJETO : Contratação de empresa ou consórcio de empresas para prestação de serviços técnicos para a elaboração de estudos e projetos para regularização fundiária e urbana da Área de Interesse Social - ARIS Sol Nascente , conforme descrito no Anexo I do Edital . No dia 20/09/2021 . Horário : 10h00min - Horário de Brasília . As propostas serão recebidas exclusivamente por meio eletrônico no endereço sítio https://www.gov.br/compras/pt-br . Os interessados terão acesso ao Edital e seus anexos nos sítios https://www.codhab.df.gov.br e https://www.gov.br/compras/pt-br . Brasília / DF , 25 de agosto de 2021 FERNANDA VITORINO Pregoeira ",O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
279,,Pregão Eletrônico,08/2021,,"AVISO DE PREGÃO ELETRÔNICO Nº 08/2021 A Companhia de Desenvolvimento Habitacional do Distrito Federal CODHAB , no uso de suas atribuições legais , torna público o aviso de licitação para a realização do Pregão Eletrônico nº 08/2021 , OBJETO : Contratação de serviços técnicos para elaboração de projetos e estudos para regularização urbanística e fundiária de área de interesse social ARIS Estrutural , inserida na Região Administrativa do Setor Complementar de Indústrias e Abastecimento - RA XXV , conforme descrito no Anexo I do Edital . No dia 22/09/2021 . Horário : 10h00min - Horário de Brasília . As propostas serão recebidas exclusivamente por meio eletrônico no endereço sítio https://www.gov.br/compras/pt-br . Os interessados terão acesso ao Edital e seus anexos nos sítios https://www.codhab.df.gov.br e https://www.gov.br/compras/pt-br . Brasília / DF , 25 de agosto de 2021 FERNANDA VITORINO Pregoeira ",O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
280,00063-00003288/2021-17,,32/2021,"183.894,00","AVISO DE ABERTURA DE LICITAÇÃO Nº 32/2021 - UASG 926334 A Fundação Hemocentro de Brasília torna público a realização de Licitação , por Menor Preço , para aquisição de MATERIAIS TÉCNICOS , visando atender às demandas das áreas técnicas da Fundação Hemocentro de Brasília , de acordo com as condições , quantidades e exigências estabelecidas no Edital e seus anexos ; Processo 00063-00003288/ 2021-17 , valor estimado de R$ 183.894,00 ( cento e oitenta e três mil oitocentos e noventa e quatro reais ) . Data limite de recebimento das propostas até às 10:00 horas do dia 21/09/2021 . O Edital encontra-se disponibilizado , no sítio : www.gov.br/compras , no sítio www.fhb.df.gov.br e no endereço : Setor Médico Hospitalar Norte-SMHN , Quadra 03 , Conjunto A , Bloco 03 , Asa Norte CEP 70710-908 Brasília / DF . A sessão Pública será processada no dia 21/09/2021 às 10:00 horas no sítio do Compras Governamentais , nos termos do Edital . HENRIQUE SANJIRO YUZUKI FARIAS Chefe da Seção de Compras ",O O O O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
281,092-00038340/2021,PREGÃO ELETRÔNICO,257/2021,,"AVISO DE LICITAÇÃO NOVA DATA PREGÃO ELETRÔNICO Nº 257/2021 Processo : 092-00038340/2021 . Objeto : Aquisição de materiais plásticos , rígidos e flexíveis , para redes de água e esgoto ( conexões PVC ) . CRITÉRIO DE JULGAMENTO : Menor Preço ; DOTAÇÃO ORÇAMENTÁRIA : UO 22.202 ; PROGRAMA DE TRABALHO : 17.512.6209.1832/0001 ; NATUREZA DE DESPESA : 449051 ; Código de Aplicação : 22.204.013. 021-5 . FONTE DE RECURSO : Recursos próprios da Caesb , código : 21.101.100. 000-6 . ENTREGA : 30 dias . NOVA DATA DE ABERTURA : 28/10/2021 , às 09 horas no site https://www.gov.br/compras/pt-br ( UASG : 974200 ) . INFORMAÇÕES : O edital e seus anexos encontram-se disponíveis nos sites : www.caesb.df.gov.br menu Licitações e https://www.gov.br/compras/pt-br , a partir do dia 14/10/2021 . Fone : ( 61 ) 3213-7164 , E-mail : licitacao@caesb.df.gov.br . LUDYMILLA RODRIGUES NUNES Pregoeira ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
282,092-00039173/2021-46,PREGÃO ELETRÔNICO,277/2021,,"AVISO DE LICITAÇÃO NOVA DATA PREGÃO ELETRÔNICO Nº 277/2021 Processo : 092-00039173/ 2021-46 . Objeto : Aquisição de lubrificantes , óleos e graxas , na forma do Sistema de Registro de preços - SRP . CRITÉRIO DE JULGAMENTO : Menor Preço ; DOTAÇÃO ORÇAMENTÁRIA : UO 22.202 ; PROGRAMA DE TRABALHO : 17.122.8209.8517/6977 ; NATUREZA DE DESPESA : 33.90.30 ; Código de Aplicação : 12.403.402. 200-0 . FONTE DE RECURSO : Recursos próprios da Caesb , código : 11.101.000. 000-3 . ENTREGA : 30 dias . VIGÊNCIA DA ATA DE REGISTRO DE PREÇO : 365 dias . NOVA DATA DE ABERTURA : 26/10/2021 , às 09 horas no site https://www.gov.br/compras/pt-br ( UASG : 974200 ) . INFORMAÇÕES : O edital e seus anexos encontram-se disponíveis nos sites : www.caesb.df.gov.br menu Licitações e https://www.gov.br/compras/pt-br , a partir do dia 14/10/2021 . Fone : ( 61 ) 3213-7340 , E-mail : licitacao@caesb.df.gov.br . ELISA TEREZINHA HAMMES Pregoeira ",O O O O O B-modalidade_licitacao I-modalidade_licitacao O B-numero_licitacao O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
283,0084-000195/2017,PREGÃO ELETRÔNICO,21/2021,"641.877,65","AVISO DE ABERTURA PREGÃO ELETRÔNICO SRP Nº 21/2021 - ( UASG 450432 ) Objeto : Registro de Preços visando aquisição de utensílios para servimento da alimentação escolar , para atender os estudantes do Programa de Alimentação Escolar do Distrito Federal , especificamente para as unidades escolares públicas que ofertam Educação Infantil , da Secretaria de Estado de Educação do Distrito Federal ( SEEDF ) , de acordo com as especificações , quantidades estimadas e condições constantes no edital e anexos . Total de itens : 13 . Valor total estimado : R$ 641.877,65 ( seiscentos e quarenta e um mil oitocentos e setenta e sete reais e sessenta e cinco centavos ) . Processo 0084-000195/2017 . Cadastro das Propostas : a partir de 12/08/2021 . Abertura das Propostas : 24/08/2021 , às 09 horas , horário de Brasília . O Edital estará disponível nos endereços eletrônicos : www.comprasgovernamentais.gov.br e http://www.se.df.gov.br/pregao-eletronico-sistema-de-registro-de-precos/. REGINA RODRIGUES PORTO Pregoeira ",O O O B-modalidade_licitacao I-modalidade_licitacao O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O B-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
284,00063-00003688/2021-14,,35/2021,"9.215,00","AVISO DE ABERTURA DE LICITAÇÃO Nº 35/2021 - UASG 926334 A Fundação Hemocentro de Brasília torna público a realização de Licitação , por Menor Preço , para aquisição de MATERIAIS TÉCNICOS , visando atender às demandas das áreas técnicas da Fundação Hemocentro de Brasília , de acordo com as condições , quantidades e exigências estabelecidas no Edital e seus anexos ; Processo 00063-00003688/ 2021-14 , valor estimado de R$ 9.215,00 ( nove mil duzentos e quinze reais ) . Data limite de recebimento das propostas até às 10:00 horas do dia 24/11/2021 . O Edital encontra-se disponibilizado , no sítio : www.gov.br/compras , no sítio www.fhb.df.gov.br e no endereço : Setor Médico Hospitalar Norte-SMHN , Quadra 03 , Conjunto A , Bloco 03 , Asa Norte CEP 70710-908 Brasília / DF . A sessão Pública será processada no dia 24/11/2021 às 10:00 horas no sítio do Compras Governamentais , nos termos do Edital . EVANDRO LUIZ DE SOUZA OLIVEIRA Chefe - Substituto ",O O O O O O B-numero_licitacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O B-valor_estimado_contratacao O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
