,processo,tipo,objeto,CNPJ,valor,valor_total,modo_disputa,texto
45,nan,nan," Pregao Eletronico - Pregao Eletronico - Aquisicao de
material para implantacao de tecnologias sociais na area de seguranca alimentar e nutricional,
atividade de Piscicultura e de uso rotineiro atendendo as demandas individuais e em visitas
programadas nas Unidades de Producao Familiar e na implantacao de setenta quintais multifuncionais,
conforme especificacoes e quantidades constantes no Termo de Referencia, Anexo I deste Edital",11.718.416/0001-66,"20.507,14","24.515,90",nan,"
PREGAO ELETRONICO No 04/2019
Processo: 0072-000391/2019-73. Objeto: Pregao Eletronico - Pregao Eletronico - Aquisicao de
material para implantacao de tecnologias sociais na area de seguranca alimentar e nutricional,
atividade de Piscicultura e de uso rotineiro atendendo as demandas individuais e em visitas
programadas nas Unidades de Producao Familiar e na implantacao de setenta quintais multifuncionais,
conforme especificacoes e quantidades constantes no Termo de Referencia, Anexo I deste Edital. A
EMATER-DF informa a ADJUDICACAO e HOMOLOGACAO final do certame, com fulcro no
Decreto no 5.450/2005, de 31/05/2005, Grupo I - SISTEMINAS LTDA, CNPJ 23.481.297/0001-50 no
valor total de R$ 24.515,90 (vinte e quatro mil quinhentos e quinze reais e noventa centavos): Grupo
02, 03 e 05 - SOLUX DISTRIBUIDORA EIRELI, CNPJ no 23.291.920/0001-01, no valor total de R$
20.507,14 (vinte mil quinhentos e sete reais e quatorze centavos): Grupo 04 - VIVO LICITACOES
EIRELI, CNPJ no 30.041.676/0001-94, no valor total de R$ 4.756,86 (quatro mil setecentos e
cinquenta e seis reais e oitenta e seis centavos): Grupo 06 - COMERCIAL UNIPRO LTDA, CNPJ
no 11.718.416/0001-66, no valor total de R$ 23.938,00 (vinte e tres mil novecentos e trinta e oito
reais): Item 35 - NATIVA DISTRIBUICAO DE SUPRIMENTOS EIRELI, CNPJ no 09.482.201/0001-
47, no valor total de R$ 20.070,00 (dois mil e setenta reais) Assina: Joao de Deus Abreu Soares -
Pregoeiro"
46,00050-00049042/2018-08, Menor Preco," Contratacao de empresa especializada
para realizacao de servico de locacao de 10 (dez) equipamentos de Raio X (body scan e seus perifericos),
compreendendo servico de locacao dos equipamentos, manutencoes preventivas e corretivas dos equipamentos
e cursos de treinamento para os operadores das maquinas, pelo periodo de 48 meses, para inspecao corporal para
os internos da Subsecretaria do Sistema Penitenciario da Secretaria de Estado da Seguranca Publica",19.892.624/0001-99,"4.560.000,00",nan,nan,"
PREGAO ELETRONICO No 36/2018
PROCESSO; 00050-00049042/2018-08. TIPO: Menor Preco. OBJETO: Contratacao de empresa especializada
para realizacao de servico de locacao de 10 (dez) equipamentos de Raio X (body scan e seus perifericos),
compreendendo servico de locacao dos equipamentos, manutencoes preventivas e corretivas dos equipamentos
e cursos de treinamento para os operadores das maquinas, pelo periodo de 48 meses, para inspecao corporal para
os internos da Subsecretaria do Sistema Penitenciario da Secretaria de Estado da Seguranca Publica. A SSPDF
com fulcro nos incisos V e VI, do artigo 8o, do Decreto no 5.450/2005, informa a ADJUDICACAO do objeto a
empresa NUCTECH do Brasil LTDA, CNPJ: 19.892.624/0001-99, no valor total para 48 meses de R$
4.560.000,00; e a HOMOLOGACAO do certame"
47,00050-00047771/2018-11, Menor Preco," Aquisicao de tiras de sandalias, de
luvas multiuso de latex, cartoes de memoria e placa acrilica para identificacao de autoridades em reunioes para
atender demandas da Secretaria de Estado de Seguranca Publica do Distrito Federal",42.941.690/0001-23,"51.240,00","51.240,00",nan,"
PREGAO ELETRONICO No 16/2019
PROCESSO: 00050-00047771/2018-11. TIPO: Menor Preco. OBJETO: Aquisicao de tiras de sandalias, de
luvas multiuso de latex, cartoes de memoria e placa acrilica para identificacao de autoridades em reunioes para
atender demandas da Secretaria de Estado de Seguranca Publica do Distrito Federal. A SSPDF informa, com
fulcro no inciso IX do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do item 1 a empresa Ponto do
Artesao Comercio e Distribuidora Ltda, CNPJ 01.229.218/0001-51, no valor total de R$ 51.240,00; do item 2 a
empresa Almix Comercio de Suprimentos Eireli, CNPJ 11.594.621/0001-67 no valor total de R$ 5.976,00; do
item 3 a empresa J2 Comercio de Utilidades e Distribuidora Logistica Eireli; CNPJ: 13.816.522/0001-08, no
valor total de R$ 161,86; do item 4 a empresa BR Display e Placas Eireli, CNPJ: 42.941.690/0001-23, no valor
total de R$ 3.135,00. Informa ainda a HOMOLOGACAO do certame com fulcro no inciso VI do Artigo 8, do
Decreto no 5.450/2005"
48,00050-00050849/2018-85, Menor Preco," Registro de Precos de material para
futura aquisicao de televisoes e Cartuchos/Tonners de impressao, para atender demandas da Secretaria de
Estado de Seguranca Publica do Distrito Federal",26.668.902/0001-94,"14.398,90","14.398,90",nan,"
PREGAO ELETRONICO No 17/2019
PROCESSO: 00050-00050849/2018-85. TIPO: Menor Preco. OBJETO: Registro de Precos de material para
futura aquisicao de televisoes e Cartuchos/Tonners de impressao, para atender demandas da Secretaria de
Estado de Seguranca Publica do Distrito Federal. A SSPDF informa, com fulcro no inciso IX do artigo 11, do
Decreto no 5.450/2005, a ADJUDICACAO do item 1 a INFOJET Comercio e Servicos de Informatica LTDA,
CNPJ 05.888.814/0001-28, no valor total de R$ 14.398,90; do item 2 a CGF Comercio de Produtos de
Informatica, Escritorio e S, CNPJ 01.251.189/0001-58, no valor total de R$ 65.970,00; dos itens 3 e 5 a A H DA
S MORAES, CNPJ 02.437.839/0001-17, no valor total de R$ 3.250,00; dos itens 4 e 6 a R.N. BALTAZAR
Comercio de Informatica, CNPJ 26.668.902/0001-94, no valor total de R$ R$ 5.049,50; totalizando R$
88.668,40 licitados. A SSPDF informa ainda a HOMOLOGACAO do certame com fulcro no inciso VI do
Artigo 8o, do Decreto no 5.450/2005"
49,00050-00004195/2019-07, Menor Preco," Contratacao de empresa especializada
na prestacao de servicos de limpeza e conservacao forma continua, com fornecimento de materiais, para atender
as unidades da Secretaria de Estado de Seguranca Publica do Distrito Federal",08.173.071/0001-06,"7.562.507,28","7.562.507,28",nan,"
PREGAO ELETRONICO No 22/2019
PROCESSO: 00050-00004195/2019-07. TIPO: Menor Preco. OBJETO: Contratacao de empresa especializada
na prestacao de servicos de limpeza e conservacao forma continua, com fornecimento de materiais, para atender
as unidades da Secretaria de Estado de Seguranca Publica do Distrito Federal. A SSPDF informa, com fulcro
nos incisos V e VI, do artigo 8o e no inciso IX do Artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO dos
grupos 1 e 3 a empresa SERVEGEL Apoio Administrativo e Suporte Operacional Ltda. CNPJ
01.608.603/0001-33, no valor anual de R$ 7.562.507,28; e dos grupos 2 e 4 a empresa R&R Servicos de
Limpeza e Conservacao Ltda., CNPJ: 08.173.071/0001-06, no valor anual de R$ 1.627.922,86; e a
HOMOLOGACAO do certame"
50,00050-00005593/2018-51, Menor Preco," Contratacao de empresa para
prestacao de servicos tecnicos especializados continuados na area de Tecnologia da Informacao e
Comunicacao (TIC) para manutencao do ambiente tecnologico da SSP/DF, mediante Unidade de Servico
Tecnico (UST)",38.056.404/0001-70,"2.615.913,98","2.615.913,98",nan,"
PREGAO ELETRONICO No 14/2018
PROCESSO: 00050-00005593/2018-51. TIPO: Menor Preco. OBJETO: Contratacao de empresa para
prestacao de servicos tecnicos especializados continuados na area de Tecnologia da Informacao e
Comunicacao (TIC) para manutencao do ambiente tecnologico da SSP/DF, mediante Unidade de Servico
Tecnico (UST). A SSPDF informa, com fulcro nos incisos V e VI, artigo 8o, do Decreto no 5.450/2005, a
ADJUDICACAO dos grupos 1 e 2 a empresa IOS Informatica, Organizacao e Sistemas Ltda., CNPJ
38.056.404/0001-70, no valor total anual de R$ 2.615.913,98; e a HOMOLOGACAO do certame"
51,00050.00004195/2019-07,nan," Contratacao de empresa especializada para a prestacao de servicos
de mao de obra tecnica e exclusiva de jardinagem, visando a producao de mudas de especies nativas para
a restauracao florestal no ambito do Programa Produtor de Agua- Projeto Pipiripau",08.173.071/0001-06,"108.000,00","108.000,00",nan,"
PREGAO ELETRONICO No 01/2019
Processo: 0072-000424/2017. Objeto: Contratacao de empresa especializada para a prestacao de servicos
de mao de obra tecnica e exclusiva de jardinagem, visando a producao de mudas de especies nativas para
a restauracao florestal no ambito do Programa Produtor de Agua- Projeto Pipiripau. A EMATER-DF
informa a ADJUDICACAO e HOMOLOGACAO final do certame, com fulcro no Decreto no 5.450/2005,
DE 31/05/2005, a empresa VERDE FLORA PAISAGISMO LTDA, CNPJ no 05.122.612/0001-70, no valor
total de R$ 108.000,00 (cento e oito mil reais). Assina: Antonio Dantas Costa Junior - Presidente em
Exercicio
SECRETARIA DE ESTADO DE SEGURANCA PUBLICA
EXTRATO DO CONTRATO DE PRESTACAO DE SERVICOS No 043/2019,
NOS TERMOS DO PADRAO No 04/2002
INSTITUIDO PELO DECRETO/DF N 23.287/2002
Processo: 00050.00004195/2019-07. Partes: o Distrito Federal, por meio da SECRETARIA DE
ESTADO DE SEGURANCA PUBLICA e a empresa R&R SERVICOS DE LIMPEZA E
CONSERVACAO, inscrita no CNPJ No 08.173.071/0001-06 e inscricao estadual no 07.478.815/001-87"
52,00072-00000756/2019-60,nan," Pregao Eletronico - Pregao Eletronico no 10/2019 - Aquisicao
de material necessario para realizacao dos cursos de capacitacao e demais atividades programadas no Plano
Anual de Trabalho do Centro de Capacitacao da Emater-DF (Centrer), conforme especificacoes e
quantidades constantes no Termo de Referencia, Anexo I deste Edital",19.600.228/0001-40,"2.795,48","2.795,48",nan,"
PREGAO ELETRONICO No 10/2019
Processo: 00072-00000756/2019-60. Objeto: Pregao Eletronico - Pregao Eletronico no 10/2019 - Aquisicao
de material necessario para realizacao dos cursos de capacitacao e demais atividades programadas no Plano
Anual de Trabalho do Centro de Capacitacao da Emater-DF (Centrer), conforme especificacoes e
quantidades constantes no Termo de Referencia, Anexo I deste Edital. A EMATER-DF informa a
ADJUDICACAO e HOMOLOGACAO final do certame, com fulcro no Decreto no 5.450/2005, de
31/05/2005, Grupo 2 - VS - VIEIRA & SANTOS COMERCIO DE ARTIGOS DE PAPELARIA E, CNPJ:
23.230.795/0001-20 no valor total de R$ 2.795,48 (dois mil setecentos e noventa e cinco reais e quarenta
e oito centavos): Grupo 04 - ARCANJOS COMERCIAL DE ALIMENTOS EIRELI, CNPJ no:
19.600.228/0001-40, no valor total de R$ 30.312,88 (trinta mil e trezentos e doze reais e oitenta e oito
centavos)"
53,00050-00004135/2019-86, Menor Preco," Contratacao de empresa especializada
para realizacao de servico continuo comum de Seguro de Vida e Acidentes Pessoais, mediante a
implantacao de apolice, para os servidores ativos da Policia Civil, Policia Militar e do Corpo de Bombeiros
Militar do Distrito Federal no exercicio da funcao ou em razao desta, com coberturas de morte acidental,
invalidez permanente total ou parcial acidental, independente da faixa etaria",87.883.807/0001-06,"1.396.800,00","1.396.800,00",nan,"
PREGAO ELETRONICO No 21/2019
Processo: 00050-00004135/2019-86. Tipo: Menor Preco. Objeto: Contratacao de empresa especializada
para realizacao de servico continuo comum de Seguro de Vida e Acidentes Pessoais, mediante a
implantacao de apolice, para os servidores ativos da Policia Civil, Policia Militar e do Corpo de Bombeiros
Militar do Distrito Federal no exercicio da funcao ou em razao desta, com coberturas de morte acidental,
invalidez permanente total ou parcial acidental, independente da faixa etaria. A SSPDF informa, com
fulcro nos incisos V e VI, artigo 8o, do Decreto no 5.450/2005, a ADJUDICACAO do objeto empresa
MBM Seguradora S/A., CNPJ 87.883.807/0001-06, no valor total anual de R$ 1.396.800,00; e a
HOMOLOGACAO do certame"
54,00054-00018395/2019-26, Menor Preco,nan,29.274.611/0001-00,nan,"8.478,00",nan,"
PREGAO ELETRONICO No 7/2019
Processo SEI no 00054-00018395/2019-26. Tipo: Menor Preco. O Departamento de Saude e Assistencia ao
Pessoal informa a adjudicacao e a homologacao do pregao eletronico respectivamente conforme art. 11,
IX, e art. 8o, VI, do Decreto Federal no 5.450/2005, para a aquisicao de mobiliario (material permanente),
junto a empresa M & C COMERCIO DE MOVEIS LTDA, CNPJ: 24.605.657/0001-40, pelo valor total
do fornecedor de R$ 8.478,00 (oito mil quatrocentos e setenta e oito reais) para o item 1; junto a empresa
JJ DISTRIBUIDORA EIRELI, CNPJ: 22.132.985/0001-41, pelo valor total do fornecedor de R$
19.789,76 (dezenove mil setecentos e oitenta e nove reais e setenta e seis centavos) para o item 2; junto
a empresa JR COMERCIOS E VIDROS LTDA, CNPJ: 12.500.834/0001-45, pelo valor total do
fornecedor de R$ 11.699,00 (onze mil seiscentos e noventa e nove reais) para o item 3; junto a empresa
D. H. F. FRANQUI EIRELI, CNPJ: 26.315.298/0001-12, pelo valor total do fornecedor de R$3.194,90
(tres mil cento e noventa e quatro reais e noventa centavos) para o item 4; e junto a empresa XIX LABOR
COMERCIAL E SERVICOS EIRELI, CNPJ: 29.274.611/0001-00, pelo valor total do fornecedor de R$
5.380,00 (cinco mil trezentos e oitenta reais) para o item 5, resultando em valor global da ata de R$
48.541,66 (quarenta e oito mil quinhentos e quarenta e um reais e sessenta e seis centavos). Os Termos
de Adjudicacao e de Homologacao estao disponiveis no sitio www.comprasgovernamentais.gov.br, UASG
926670"
55,00050-00047146/2018-70, Menor Preco," Aquisicao e instalacao de
estruturas porta-paletes e aquisicao de paletes e empilhadeiras eletricas, para atender demandas da
Secretaria de Estado de Seguranca Publica do Distrito Federal",31.885.247/0001-66,"83.999,55","83.999,55",nan,"
PREGAO ELETRONICO No 19/2019
PROCESSO: 00050-00047146/2018-70. TIPO: Menor Preco. OBJETO: Aquisicao e instalacao de
estruturas porta-paletes e aquisicao de paletes e empilhadeiras eletricas, para atender demandas da
Secretaria de Estado de Seguranca Publica do Distrito Federal. A SSPDF informa, com fulcro no
inciso IX do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do item 1 a E. Tripode Industria
e Comercio de Moveis - Eireli, CNPJ 22.228.425/0001-95, no valor total de R$ 83.999,55; do item
2 a: L & E Diversidade e Comercial LTDA, CNPJ 01.013.839/0001-27, no valor total de R$
58.996,80; do item 3 a VBM Equipamentos LTDA, CNPJ 31.885.247/0001-66, no valor total de R$
66.000,00; totalizando R$ 208.996,35 licitados. A SSPDF informa ainda a HOMOLOGACAO do
certame com fulcro no inciso VI do Artigo 8o, do Decreto no 5.450/2005"
56,00054-00076953/2018-97, Menor Preco,nan,23.401.205/0001-84,nan,"29.988,00",nan,"
PREGAO ELETRONICO No 9/2019 - SRP
Processo: 00054-00076953/2018-97. Tipo: Menor Preco. O Departamento de Saude e Assistencia ao
Pessoal informa a adjudicacao e a homologacao de pregao eletronico para registro de precos,
respectivamente conforme art. 11, IX, e art. 8o, VI, do Decreto Federal no 5.450/2005, para a
aquisicao de material de consumo odontologico (filme de imagem laser Dry View), junto a empresa
R & C PRODUTOS PARA A SAUDE LTDA, CNPJ: 23.401.205/0001-84, pelo valor total do
fornecedor de R$ 29.988,00 (vinte e nove mil novecentos e oitenta e oito reais) para o item 1;
resultando em valor global da ata de R$ 29.988,00 (vinte e nove mil novecentos e oitenta e oito
reais).  Os Termos  de  Adjudicacao e  de Homologacao  estao  disponiveis no  sitio
www.comprasgovernamentais.gov.br, UASG 926670"
57,00050-00153018/2017-83, Menor Preco," Registro de Precos para futura
aquisicao de maquinas lavadoras e extratoras de roupas com barreira, maquinas secadoras de roupa
industriais, balancas eletronicas com plataforma, carros para transporte de roupas e mesas metalicas,
visando atender demanda das unidades prisionais do Distrito Federal",23.592.183/0001-87,"72.000,00","72.000,00",nan,"
PREGAO ELETRONICO No 14/2019
PROCESSO: 00050-00153018/2017-83. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de maquinas lavadoras e extratoras de roupas com barreira, maquinas secadoras de roupa
industriais, balancas eletronicas com plataforma, carros para transporte de roupas e mesas metalicas,
visando atender demanda das unidades prisionais do Distrito Federal. A SSPDF informa, com fulcro
nos incisos V e VI, artigo 8o, e inciso IX do Artigo 11 do Decreto no 5.450/2005, a ADJUDICACAO
dos itens 1, 2 e 7 a empresa INEQUIL Industria de Equipamentos LTDA, CNPJ 09.588.066/0001-19,
no valor unitario 72.000,00, R$ 21.000,00 e R$ 21.000,00; do item 5 a empresa Vicente Xisto
Cupertino, CNPJ 10.417.394/0001-31, no valor unitario de R$ 1.350,00; e do item 3 a empresa
MULTICEL Comercio de Eletronicos LTDA, CNPJ 23.592.183/0001-87, no valor unitario DE R$
930,00; o valor total licitado foi de R$ 2.333.550,00; e a HOMOLOGACAO do certame"
58,00050-00060409/2018-36, Menor Preco," Registro de Precos para futura
aquisicao de cadeados, luvas de procedimento, mascaras, lavadoras de alta pressao e bottons de identificacao
pessoal, para atender demandas da Secretaria de Estado de Seguranca Publica do Distrito Federal",27.737.397/0001-55,"7,50","7,50",nan,"
PREGAO ELETRONICO No 24/2019
PROCESSO: 00050-00060409/2018-36. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de cadeados, luvas de procedimento, mascaras, lavadoras de alta pressao e bottons de identificacao
pessoal, para atender demandas da Secretaria de Estado de Seguranca Publica do Distrito Federal. A SSPDF
informa, com fulcro no inciso VI do artigo 8o, e inciso IX do Artigo 11 do Decreto no 5.450/2005, a
ADJUDICACAO do item 7 a empresa Marcio Sandro Mallet Pezarim, CNPJ 04.743.532/0001-70, no valor
unitario de R$ 7,50; dos itens 2, 3 e 5 no valor unitario de R$ 14,98, R$ 16,50 e R$ 5,87; do item 1 a empresa
Richele Farias dos Santos, CNPJ 22.842.364/0001-51, no valor unitario de R$ 54,20; do item 6 a empresa
ARZUL Comercio de Maquinas EIREL, CNPJ 26.544.764/0001-31; e do item 4 a empresa - PRO MAIS
Engenharia LTDA, CNPJ 27.737.397/0001-55, no valor unitario de R$ 14,75; o valor total licitado foi de R$
256.840,20; e a HOMOLOGACAO do certame"
59,nan, Menor Preco," Registro de Precos de
instrumentos de menor potencial ofensivo (cartuchos, granadas, espargidores e projeteis) para atender
necessidades do Sistema Penitenciario do Distrito Federal",30.092.431/0001-96,nan,"381,34",nan,"
PREGAO ELETRONICO No 26/2019-SSPDF
REPETICAO DO PE No 5/2019-SSPDF
PROCESSO SEI-GDF: 0050-000727/2016 TIPO: Menor Preco. OBJETO: Registro de Precos de
instrumentos de menor potencial ofensivo (cartuchos, granadas, espargidores e projeteis) para atender
necessidades do Sistema Penitenciario do Distrito Federal. A SSPDF informa, com fulcro no inciso IX do
artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO dos itens 01 a 11 a empresa CONDOR S/A
INDUSTRIA QUIMICA, CNPJ 30.092.431/0001-96, nos valores unitarios respectivos R$ 381,34; R$ 114,44;
R$ 355,07; R$ 345,10, R$ 279,89, R$ 407,86, R$ 448,64, R$ 350,21, R$ 281,67, R$ 216,03, R$ 216,03; e a
HOMOLOGACAO do certame com fulcro no inciso VI, do Artigo 8o, do Decreto no 5.450/2005. A empresa
adjudicataria esta convocada para assinar a Ata de Registro de Precos conforme item 2.6.1 do Edital"
60,00143-00001378/2019-79,nan,"  e a contratacao de  empresa  de
Engenharia/Arquitetura especializada em elaboracao de projetos de reforma, ampliacao e modificacao
referente: Arquitetura, Estrutura Metalica, Drenagem Pluvial, Instalacoes Eletricas, Hidrossanitario,
Sistema de Protecao contra Descargas Atmosfericas, Telefonica, Rede, Circuito Fechado de Televisao-
CFTV, Prevencao de Combate a Incendio, Panico e Elaboracao de Orcamento",17.863.345/0001-71,nan,"161.481,03",nan," CARTA CONVITE No 1/2019
Para que se produzam os efeitos legais em sua plenitude e com respaldo no inciso VI, DO ART. 43,
DA LEI 8.666/93, HOMOLOGO o procedimento licitatorio referente a CARTA CONVITE No 1/2019
- Processo  no 00143-00001378/2019-79, cujo objeto  e a contratacao de  empresa  de
Engenharia/Arquitetura especializada em elaboracao de projetos de reforma, ampliacao e modificacao
referente: Arquitetura, Estrutura Metalica, Drenagem Pluvial, Instalacoes Eletricas, Hidrossanitario,
Sistema de Protecao contra Descargas Atmosfericas, Telefonica, Rede, Circuito Fechado de Televisao-
CFTV, Prevencao de Combate a Incendio, Panico e Elaboracao de Orcamento. Sendo projetos basico
e executivo, com a finalidade de Reformar os Proprios que Fazem parte da Administracao Regional
de Santa Maria, conforme enderecamento: 1) Edificacao da Administracao Regional de Santa Maria
na QC 01, Conjunto H, Santa Maria DF; 2) Edificacao do Galpao Cultural localizado na QC 01,
Conjunto H, Santa Maria DF; 3) Edificacao do Ginasio de Esportes na QC 01, Santa Maria-DF; 4)
Edificacao do Galpao Cultural na QR 100, Conjunto T LT 3, Santa Maria-DF; 5) Edificacao do
Galpao Cultural na QR 207, Santa Maria-DF; 6) Edificacao do Galpao Cultural na EQ 216/316, ao
lado do Lote B, Santa Maria-DF; 7) Edificacao da Biblioteca na QR 204, lote 2, Santa Maria-DF;
8) Edificacao da Biblioteca na QR 315, lote A, Santa Maria-DF, e em razao disto, o ADJUDICO em
favor da empresa VITAL ENGENHARIA E ARQUITETURA EIRELI, inscrita no CNPJ no
17.863.345/0001-71, vencedora do certame, com valor global de R$ 161.481,03 (cento e sessenta e
um mil quatrocentos e oitenta e um reais e tres centavos). Data da homologacao 23/08/2019. De igual
modo, convoca a empresa VITAL ENGENHARIA E ARQUITETURA EIRELI, inscrita no CNPJ no
17.863.345/0001-71, para no prazo de cinco dias uteis, a partir desta publicacao, comparecerem na
sede desta RA-XIII, para assinatura do termo de contrato"
61,00050-00060409/2018-36, Menor Preco," Registro de Precos para futura
aquisicao de cadeados, luvas de procedimento, mascaras, lavadoras de alta pressao e bottons de
identificacao pessoal, para atender demandas da Secretaria de Estado de Seguranca Publica do Distrito
Federal",27.737.397/0001-55,"7,50","7,50",nan,"
PREGAO ELETRONICO No 24/2019 (*)
PROCESSO: 00050-00060409/2018-36. TIPO: Menor Preco. OBJETO: Registro de Precos para futura
aquisicao de cadeados, luvas de procedimento, mascaras, lavadoras de alta pressao e bottons de
identificacao pessoal, para atender demandas da Secretaria de Estado de Seguranca Publica do Distrito
Federal. A SSPDF informa, com fulcro no inciso VI do artigo 8o, e inciso IX do Artigo 11 do
Decreto no 5.450/2005, a ADJUDICACAO do item 7 a empresa Marcio Sandro Mallet Pezarim, CNPJ
04.743.532/0001-70, no valor unitario de R$ 7,50; dos itens 2, 3 e 5 a empresa LICITARE Produtos,
Materiais e Servicos LTDA, CNPJ 18.641.075/0001-17, no valor unitario de R$ 14,98, R$ 16,50 e R$
5,87; do item 1 a empresa Richele Farias dos Santos, CNPJ 22.842.364/0001-51, no valor unitario de
R$ 54,20; do item 6 a empresa ARZUL Comercio de Maquinas EIREL, CNPJ 26.544.764/0001-31;
e do item 4 a empresa - PRO MAIS Engenharia LTDA, CNPJ 27.737.397/0001-55, no valor unitario
de R$ 14,75; o valor total licitado foi de R$ 256.840,20; e a HOMOLOGACAO do certame. As
empresas adjudicatarias estao convocadas para assinar a Ata de Registro de Precos conforme item
2.7.1 do Edital"
62,00054-00020307/2019-56,nan,nan,nan,nan,nan,nan,"
COTACAO ELETRONICA No 01/2019
Processo SEI no 00054-00020307/2019-56. O Departamento de Saude e Assistencia ao Pessoal da PMDF
informa a adjudicacao e a homologacao de cotacao eletronica, respectivamente conforme incisos V e VI do art"
63,00072-00001012/2019-62,nan," Pregao Eletronico - Contratacao de servicos de fornecimento
de alimentacao para atender os cursos e seminarios ministrados pelo Centro de Capacitacao da Emater-DF
(Centrer) e os previstos no plano de trabalho do Convenio de Capacitacao de Agentes de Assistencia
Tecnica e Extensao Rural (Ater)",33.851.374/0001-70,"33.197,30","33.197,30",nan,"
PREGAO ELETRONICO No 09/2019
Processo: 00072-00001012/2019-62. Objeto: Pregao Eletronico - Contratacao de servicos de fornecimento
de alimentacao para atender os cursos e seminarios ministrados pelo Centro de Capacitacao da Emater-DF
(Centrer) e os previstos no plano de trabalho do Convenio de Capacitacao de Agentes de Assistencia
Tecnica e Extensao Rural (Ater). A EMATER-DF informa a ADJUDICACAO e HOMOLOGACAO final
do certame, com fulcro no Decreto no 5.450/2005, de 31/05/2005, Itens I e II - IMPERADOR COMERCIO
E SERVICOS PARA EVENTOS EIRELI, CNPJ 33.851.374/0001-70, no valor total de R$ 33.197,30
(trinta e tres mil cento e noventa e sete reais e trinta centavos)"
64,00050-00015619/2018-70, Menor Preco," Registro de precos para
contratacao de empresa especializada em prestacao de servicos continuados de assistencia tecnica em
manutencao corretiva por demanda das impressoras/copiadoras, impressoras multifuncionais, scanner,
impressora de cracha, com reposicao de pecas originais do fabricante do equipamento instalados em
diversos setores da Secretaria de Estado de Seguranca Publica",06.885.830/0001-20,"186.509,29","186.509,29",nan,"
PREGAO ELETRONICO No 45/2018-SSPDF
PROCESSO: 00050-00015619/2018-70. TIPO: Menor Preco. OBJETO: Registro de precos para
contratacao de empresa especializada em prestacao de servicos continuados de assistencia tecnica em
manutencao corretiva por demanda das impressoras/copiadoras, impressoras multifuncionais, scanner,
impressora de cracha, com reposicao de pecas originais do fabricante do equipamento instalados em
diversos setores da Secretaria de Estado de Seguranca Publica. A SSPDF informa, com fulcro no inciso IX
do artigo 11, do Decreto no 5.450/2005, a ADJUDICACAO do Grupo 01 a Expesso Service Maquinas e
Servicos Ltda, CNPJ 00.723.422/0001-95, no valor total de R$ 186.509,29; dos Grupos 02 e 03 a Office
Service Equipamentos e Servicos Escritorios Ltda, CNPJ: 72.578.586/0001-87, no valor total de R$
535.679,00; dos Grupos 04, 05, 07, 08, 09 e 10 a RT Maquinas no valor total de R$ 159.413,17; do Grupo
06 a Link Informatica Eireli, CNPJ: 06.885.830/0001-20, no valor total de R$ 319.964,25. A SSPDF
Informa ainda a HOMOLOGACAO do certame com fulcro no inciso VI, do Artigo 8o, do Decreto no
5.450/2005"
